"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
LXC+06,"SCC / NBE",,22,44,-0.1041,-0.0848,0.0193,-0.8239,-0.7883,0.0356,346.5,281.5,-65,112.6169,112.2371,-0.3798
KHA+12_ADC,"ADC / pooled normal",,25,25,-0.0946,-0.1217,-0.027,-0.7682,-0.761,0.0072,404,589,185,110.1007,111.7312,1.6305
KHA+12_SCC,"SCC / pooled normal",,23,24,-0.0946,-0.1495,-0.0549,-0.7757,-0.7685,0.0072,522,454,-68,110.1007,113.1861,3.0854
YLL+12,"LCM SCC / NBE",,47,46,-0.1316,-0.1345,-0.0028,-0.7505,-0.7219,0.0286,430,451,21,111.7205,110.9034,-0.8171
ZZD+12,"LCM LSCC / NBE",,54,41,-0.1389,-0.136,0.003,-0.7262,-0.728,-0.0018,333,418,85,111.8417,111.6287,-0.2129
ZZY+13,"plasma membrane ADC / ANT",,24,21,-0.1603,-0.1232,0.0372,-0.7597,-0.7402,0.0194,374.5,702,327.5,111.9712,109.3685,-2.6028
LLY+14,"SCC / normal",,29,48,-0.1274,-0.1281,-7e-04,-0.7528,-0.7152,0.0376,527,502.5,-24.5,111.8431,111.1141,-0.729
LWT+14,"NSCLC / ANT",,345,1240,-0.1245,-0.1336,-0.009,-0.7783,-0.7474,0.0309,455,428,-27,111.4199,112.0952,0.6753
ZLH+14,"membrane microdissected ADC / ANT",,310,257,-0.1438,-0.1458,-0.002,-0.7866,-0.7202,0.0665,362,306,-56,111.4393,112.152,0.7127
ZLS+14,"endothelial SCC / normal",,61,24,-0.148,-0.1198,0.0282,-0.7895,-0.7527,0.0368,375,394,19,111.9952,110.9122,-1.083
KNT+15,"FFPE LPIA / pseudo-normal",,346,66,-0.1446,-0.121,0.0236,-0.7367,-0.7486,-0.0118,363,496.5,133.5,111.5922,110.094,-1.4982
BLL+16_protein,"NSCLC proteome",,354,240,-0.1269,-0.1196,0.0073,-0.744,-0.7753,-0.0313,604,472.5,-131.5,111.5667,111.8542,0.2875
FGP+16,"adenocarcinoma / ANT",,81,285,-0.1299,-0.1499,-0.02,-0.7731,-0.7304,0.0426,535,414,-121,111.4199,111.75,0.3301
JCP+16,"mouse endothelial tumor / normal",mouse,18,28,-0.1206,-0.1421,-0.0214,-0.7566,-0.713,0.0436,319,384,65,111.2373,111.0243,-0.213
HHH+16_pN0,"pN0 / normal",,210,135,-0.1288,-0.1501,-0.0213,-0.7657,-0.7233,0.0424,379,327,-52,111.6921,112.0648,0.3727
HHH+16_pN1,"pN1 / normal",,233,170,-0.1241,-0.1446,-0.0205,-0.7754,-0.7409,0.0345,450,354,-96,111.4685,112.0947,0.6262
HHH+16_pN2.M1,"pN2.M1 / normal",,154,158,-0.1287,-0.1453,-0.0166,-0.7631,-0.7461,0.017,396,378,-18,110.8784,112.0629,1.1845
TLB+16,"NSCLC / ANT",,346,1059,-0.1262,-0.1325,-0.0063,-0.7571,-0.745,0.0121,510,364,-146,111.8108,111.9018,0.091
FGW+17,"adenocarcinoma / ANT",,71,1031,-0.1147,-0.1404,-0.0256,-0.7692,-0.748,0.0212,911,389,-522,110.8737,111.6409,0.7672
LZW+17,"mitochondria-related proteins adenocarcinoma / normal",,30,30,-0.1382,-0.1478,-0.0097,-0.78,-0.7456,0.0344,325,304,-21,111.6616,112.5017,0.8401
SFS+17_LF,"SCC / ANT LF",,422,311,-0.1295,-0.1311,-0.0016,-0.7612,-0.76,0.0011,562.5,467,-95.5,111.9062,112.0026,0.0964
WLC+17,"NSCLC / ANT",,20,71,-0.1307,-0.1447,-0.0141,-0.7764,-0.7197,0.0566,346.5,437,90.5,110.2718,110.4539,0.1821
YCC+17_SqCC.Oncogene,"SCC.Oncogene / ANT",,280,115,-0.1229,-0.1212,0.0017,-0.7661,-0.7705,-0.0044,562.5,403,-159.5,112.0609,111.6492,-0.4117
YCC+17_SqCC.TSG,"SCC.TSG / ANT",,207,69,-0.1114,-0.1284,-0.017,-0.7694,-0.749,0.0203,552,338,-214,111.7001,112.1253,0.4252
YCC+17_SqCC.Glycoprotein,"SCC.Glycoprotein / ANT",,64,86,-0.1285,-0.1227,0.0059,-0.7964,-0.7941,0.0023,491,564,73,110.7663,110.9775,0.2111
YCC+17_ADC.Oncogene,"ADC.Oncogene / ANT",,385,72,-0.1165,-0.1318,-0.0153,-0.7687,-0.7512,0.0175,604,457.5,-146.5,111.9592,111.6943,-0.2649
YCC+17_ADC.TSG,"ADC.TSG / ANT",,286,42,-0.1132,-0.1273,-0.0141,-0.7657,-0.7357,0.03,577,387.5,-189.5,111.5382,112.0947,0.5566
YCC+17_ADC.Glycoprotein,"ADC.Glycoprotein / ANT",,83,134,-0.1238,-0.1296,-0.0058,-0.7856,-0.82,-0.0344,655,559.5,-95.5,110.6193,112.0676,1.4482
KPS+20_early,"ADC / adjacent normal early",,86,279,-0.1342,-0.1259,0.0083,-0.7533,-0.7395,0.0138,355,428,73,111.2743,111.9546,0.6802
KPS+20_advanced,"ADC / adjacent normal advanced",,92,274,-0.1218,-0.1282,-0.0065,-0.7452,-0.7459,-7e-04,391,448.5,57.5,111.5957,111.8172,0.2215
XZW+20,"ADC / non-cancerous adjacent",,603,2735,-0.1189,-0.1327,-0.0138,-0.77,-0.7569,0.013,583,454,-129,111.4604,112.0658,0.6053
