"dataset","description","tags","n1","n2","Zc.down","Zc.up","Zc.diff","nH2O.down","nH2O.up","nH2O.diff","nAA.down","nAA.up","nAA.diff","MW.down","MW.up","MW.diff"
LHE+04,"T / adjacent N",,41,69,-0.1292,-0.1217,0.0075,-0.8099,-0.756,0.0539,419,418,-1,111.3355,111.3982,0.0627
CYD+05,"T / N",,60,88,-0.1417,-0.1158,0.0259,-0.7698,-0.7611,0.0088,270,398.5,128.5,110.4951,111.3759,0.8808
CGB+05,"T / N",,48,54,-0.133,-0.1255,0.0074,-0.779,-0.7663,0.0127,422.5,509.5,87,112.6555,112.499,-0.1565
CTZ+09,"T / adjacent N",,28,29,-0.132,-0.1144,0.0176,-0.793,-0.7456,0.0474,319.5,451,131.5,111.6462,110.303,-1.3433
MLC+11,"T / adjacent N",,38,45,-0.1347,-0.1244,0.0104,-0.7831,-0.7548,0.0283,512.5,531,18.5,110.2919,110.8987,0.6067
PCS+11_PDAC,"FFPE T  / N",,207,152,-0.1551,-0.1203,0.0347,-0.734,-0.7535,-0.0195,333,462.5,129.5,111.5349,111.2335,-0.3014
TMW+11,"accessible T / N",,108,86,-0.1107,-0.1556,-0.0448,-0.7262,-0.7468,-0.0207,295.5,434.5,139,110.4951,110.915,0.42
KBK+12,"FFPE T / N",,38,47,-0.1409,-0.0998,0.0411,-0.8054,-0.7733,0.0321,462,375,-87,111.1048,111.314,0.2092
KHO+13,"T / N",,78,57,-0.1091,-0.1265,-0.0175,-0.7742,-0.7456,0.0286,752.5,372,-380.5,111.3816,111.8306,0.449
KPC+13_all,"T / adjacent N",,257,456,-0.1244,-0.1213,0.0031,-0.7813,-0.7499,0.0314,411,342,-69,110.8195,111.6442,0.8247
WLL+13a_PC_NT,"T / adjacent N with DM",,208,219,-0.1487,-0.1169,0.0317,-0.7703,-0.7566,0.0137,383.5,469,85.5,110.9457,111.1894,0.2438
WLL+13a_PC.DM_NT.DM,"T / adjacent N without DM",,56,167,-0.1405,-0.1146,0.0259,-0.8034,-0.7573,0.046,319,450,131,110.727,110.572,-0.1551
YKK+13,"T / adjacent N",,84,83,-0.1511,-0.1244,0.0267,-0.7425,-0.745,-0.0025,358.5,418,59.5,110.5843,111.1516,0.5673
ZNWL13,"LCM T / adjacent N",,227,148,-0.1567,-0.1234,0.0333,-0.7591,-0.757,0.0022,423,455.5,32.5,111.9486,111.8276,-0.1209
ISI+14,"T / adjacent N",,65,34,-0.1546,-0.1489,0.0057,-0.7161,-0.7349,-0.0188,453,400,-53,109.8252,111.5645,1.7394
BZQ+14,"T / matched N",,55,98,-0.11,-0.084,0.026,-0.7232,-0.7217,0.0015,559,661,102,110.276,110.3381,0.0621
MZH+14,"mouse tumor / healthy",mouse,38,28,-0.1109,-0.1058,0.0051,-0.7768,-0.785,-0.0082,500.5,359.5,-141,111.4581,111.0432,-0.4149
BHB+15_T,"mouse organoids T / N",mouse,486,526,-0.1301,-0.139,-0.0089,-0.754,-0.7309,0.0231,359,393.5,34.5,112.0224,111.7258,-0.2967
KKC+16_T1,"mouse 10 w T / N",mouse,37,108,-0.1466,-0.1283,0.0183,-0.791,-0.7572,0.0337,419,373.5,-45.5,111.1655,111.3351,0.1696
CHO+18,"T / adjacent N",,109,129,-0.148,-0.1268,0.0212,-0.7725,-0.7703,0.0022,397,517,120,110.5448,111.6302,1.0854
SWW+18,"T / adjacent N",,284,324,-0.1247,-0.1356,-0.011,-0.7463,-0.7462,0,470.5,474,3.5,111.4472,111.8266,0.3794
ZAH+19,"T / N",,89,76,-0.1266,-0.0999,0.0267,-0.7109,-0.745,-0.0341,247,469.5,222.5,110.5733,111.0299,0.4566
