"Proteome_ID","Tax_ID","OSCODE","SUPERREGNUM","#(1)","#(2)","#(3)","Species Name"
"UP000008854",6183,"SCHMA","eukaryota",14095,87,14198,"Schistosoma mansoni (Blood fluke)"
"UP000002277",9598,"PANTR","eukaryota",23053,25740,49243,"Pan troglodytes (Chimpanzee)"
"UP000001555",6945,"IXOSC","eukaryota",20489,0,20505,"Ixodes scapularis (Black-legged tick) (Deer tick)"
"UP000001357",81824,"MONBE","eukaryota",9188,0,9204,"Monosiga brevicollis (Choanoflagellate)"
"UP000006718",9544,"MACMU","eukaryota",21893,22522,44520,"Macaca mulatta (Rhesus macaque)"
"UP000001312",665079,"SCLS1","eukaryota",14445,0,14472,"Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)"
"UP000001805",367110,"NEUCR","eukaryota",9759,508,10271,"Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)"
"UP000002280",13616,"MONDO","eukaryota",21225,14996,36403,"Monodelphis domestica (Gray short-tailed opossum)"
"UP000000539",9031,"CHICK","eukaryota",18113,9678,27937,"Gallus gallus (Chicken)"
"UP000001593",45351,"NEMVE","eukaryota",24428,16,24785,"Nematostella vectensis (Starlet sea anemone)"
"UP000007062",7165,"ANOGA","eukaryota",15553,1546,17195,"Anopheles gambiae (African malaria mosquito)"
"UP000002279",9258,"ORNAN","eukaryota",17390,15434,32872,"Ornithorhynchus anatinus (Duckbill platypus)"
"UP000001300",284591,"YARLI","eukaryota",6449,5,6477,"Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)"
"UP000002149",214684,"CRYNJ","eukaryota",6604,142,6773,"Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) (Filobasidiella neoformans)"
"UP000005640",9606,"HUMAN","eukaryota",20600,79500,103692,"Homo sapiens (Human)"
"UP000000559",237561,"CANAL","eukaryota",6035,1,6051,"Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)"
"UP000000589",10090,"MOUSE","eukaryota",22001,41655,65361,"Mus musculus (Mouse)"
"UP000002494",10116,"RAT","eukaryota",21588,9974,32665,"Rattus norvegicus (Rat)"
"UP000000437",7955,"DANRE","eukaryota",25706,21382,47570,"Danio rerio (Zebrafish) (Brachydanio rerio)"
"UP000000561",237631,"USTMA","eukaryota",6788,18,6809,"Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)"
"UP000000803",7227,"DROME","eukaryota",13821,9703,23696,"Drosophila melanogaster (Fruit fly)"
"UP000001940",6239,"CAEEL","eukaryota",19813,8501,28441,"Caenorhabditis elegans"
"UP000002311",559292,"YEAST","eukaryota",6050,29,6084,"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"
"UP000002254",9615,"CANLF","eukaryota",20654,24745,45668,"Canis lupus familiaris (Dog) (Canis familiaris)"
"UP000008144",7719,"CIOIN","eukaryota",16678,631,17317,"Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis)"
"UP000009136",9913,"BOVIN","eukaryota",23847,14035,37998,"Bos taurus (Bovine)"
"UP000005226",31033,"TAKRU","eukaryota",21256,29833,51450,"Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)"
"UP000001554",7739,"BRAFL","eukaryota",28542,2,28639,"Branchiostoma floridae (Florida lancelet) (Amphioxus)"
"UP000002485",284812,"SCHPO","eukaryota",5138,13,5151,"Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)"
"UP000001055",321614,"PHANO","eukaryota",15997,1,16806,"Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)"
"UP000008143",8364,"XENTR","eukaryota",22514,23799,46603,"Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)"
