rank,group,ntaxa,parent,nH2O,ZC,nC
species,Luteitalea pratensis,1,,-0.738798,-0.12627,4.80685
species,Candidatus Marinimicrobia bacterium,1,,-0.728998,-0.218429,5.059754
genus,Azorhizobium,5,Xanthobacteraceae,-0.711798,-0.15376,4.795599
genus,Buchnera,1,Erwiniaceae,-0.713289,-0.241984,5.223301
genus,Cellvibrio,14,Cellvibrionaceae,-0.756385,-0.151023,4.938927
genus,Cellulomonas,73,Cellulomonadaceae,-0.702135,-0.119333,4.683929
genus,Dictyoglomus,4,Dictyoglomaceae,-0.728828,-0.240268,5.209747
genus,Methylophilus,17,Methylophilaceae,-0.741195,-0.160672,4.933745
genus,Syntrophotalea,4,Syntrophotaleaceae,-0.734779,-0.152738,4.933535
genus,Phenylobacterium,16,Caulobacteraceae,-0.729497,-0.132142,4.781766
genus,Shewanella,143,Shewanellaceae,-0.745859,-0.159096,4.948653
genus,Myxococcus,31,Myxococcaceae,-0.729043,-0.129379,4.809295
genus,Corallococcus,34,Myxococcaceae,-0.734841,-0.127546,4.813164
genus,Stigmatella,3,Archangiaceae,-0.724206,-0.135339,4.828143
genus,Cystobacter,3,Archangiaceae,-0.729383,-0.131261,4.843618
genus,Archangium,5,Archangiaceae,-0.731559,-0.129733,4.834066
genus,Chondromyces,3,Polyangiaceae,-0.705242,-0.123857,4.762455
genus,Nannocystis,1,Nannocystaceae,-0.737296,-0.10882,4.745922
genus,Polyangium,5,Polyangiaceae,-0.718672,-0.120899,4.779022
genus,Sorangium,1,Polyangiaceae,-0.721647,-0.108476,4.722008
genus,Vitreoscilla,5,Neisseriaceae,-0.75535,-0.152487,4.924615
genus,Herpetosiphon,5,Herpetosiphonaceae,-0.752338,-0.151022,4.925392
genus,Lysobacter,65,Xanthomonadaceae,-0.747626,-0.122722,4.814372
genus,Simonsiella,1,Neisseriaceae,-0.754203,-0.154603,4.978491
genus,Caulobacter,53,Caulobacteraceae,-0.727426,-0.135857,4.779426
genus,Hyphomicrobium,16,Hyphomicrobiaceae,-0.722261,-0.145451,4.83287
genus,Hyphomonas,21,Hyphomonadaceae,-0.742671,-0.132738,4.828649
genus,Stella,3,Acetobacteraceae,-0.750095,-0.123491,4.8149
genus,Ancylobacter,7,Xanthobacteraceae,-0.711555,-0.150993,4.809907
genus,Polaribacter,43,Flavobacteriaceae,-0.761668,-0.192896,5.113516
genus,Flectobacillus,2,Cytophagaceae,-0.778531,-0.180214,5.082399
genus,Cyclobacterium,12,Cyclobacteriaceae,-0.792709,-0.169585,5.076568
genus,Runella,10,Cytophagaceae,-0.780784,-0.172377,5.051804
genus,Spirosoma,30,Cytophagaceae,-0.776314,-0.156385,4.997364
genus,Gemmata,6,Gemmataceae,-0.743961,-0.138365,4.861306
genus,Rubinisphaera,3,Planctomycetaceae,-0.773691,-0.122895,4.927303
genus,Planctopirus,4,Planctomycetaceae,-0.744461,-0.142208,4.905401
genus,Gimesia,9,Planctomycetaceae,-0.765611,-0.141263,4.960545
genus,Blastopirellula,4,Pirellulaceae,-0.765988,-0.131927,4.913321
genus,Pirellula,2,Pirellulaceae,-0.74387,-0.135443,4.88604
genus,Isosphaera,1,Isosphaeraceae,-0.748356,-0.124957,4.862731
genus,Methylocystis,20,Methylocystaceae,-0.736341,-0.139033,4.836841
genus,Borrelia,15,Borreliaceae,-0.720625,-0.224841,5.188151
genus,Borreliella,16,Borreliaceae,-0.728559,-0.233162,5.228239
genus,Sediminispirochaeta,3,Spirochaetaceae,-0.734521,-0.179764,4.993665
genus,Spirochaeta,5,Spirochaetaceae,-0.761159,-0.162803,5.01002
genus,Treponema,39,Spirochaetaceae,-0.747046,-0.177003,5.007854
genus,Brachyspira,15,Brachyspiraceae,-0.758034,-0.201678,5.173493
genus,Leptospira,76,Leptospiraceae,-0.767176,-0.194217,5.11452
genus,Leptospirillum,6,Nitrospiraceae,-0.750506,-0.164,4.958427
genus,Leptonema,1,Leptospiraceae,-0.762963,-0.154368,5.006481
genus,Magnetospirillum,19,Rhodospirillaceae,-0.715461,-0.142369,4.806413
genus,Novispirillum,1,Rhodospirillaceae,-0.707134,-0.146287,4.794964
genus,Aquaspirillum,2,Chromobacteriaceae,-0.744736,-0.144994,4.891835
genus,Azospirillum,47,Azospirillaceae,-0.717174,-0.139165,4.794108
genus,Campylobacter,234,Campylobacteraceae,-0.737629,-0.212206,5.12271
genus,Helicobacter,80,Helicobacteraceae,-0.748395,-0.195603,5.082582
genus,Achromobacter,66,Alcaligenaceae,-0.739956,-0.136337,4.817509
genus,Alteromonas,60,Alteromonadaceae,-0.758626,-0.152097,4.957434
genus,Pseudoalteromonas,312,Pseudoalteromonadaceae,-0.751535,-0.162102,4.978181
genus,Brucella,85,Brucellaceae,-0.728072,-0.152148,4.862237
genus,Flavobacterium,338,Flavobacteriaceae,-0.769147,-0.186987,5.091915
genus,Elizabethkingia,16,Weeksellaceae,-0.784175,-0.183985,5.122657
genus,Planomicrobium,17,Planococcaceae,-0.749269,-0.18158,5.027083
genus,Chryseobacterium,187,Weeksellaceae,-0.782373,-0.181735,5.111358
