genome,organism,dmdA,mddA,dmsA,aprA,aprB,soxA,soxB,soxC,soxX,soxY,soxZ,dsrA,dsrB
GCF_000315795.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Caenispirillum..Caenispirillum..salinarum..AK4,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCF_001614315.2,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Halofilum..Halofilum..ochraceum..XJ16,TRUE,TRUE,,,,,,,,,,,
GCA_002348365.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..UBA2966,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,,,,
GCA_002722885.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium,TRUE,,TRUE,,,,,TRUE,,,,,
GCF_000583135.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Thioalkalivibrio..Thioalkalivibrio..sp..HK1..HK1,TRUE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_001735895.1,Bacteria..Proteobacteria..Gammaproteobacteria..NA..NA..NA..Olavius..algarvensis..Gamma..3..endosymbiont,TRUE,,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE
GCA_002938255.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..Alphaproteobacteria..bacterium..MarineAlpha5..Bin3,TRUE,,,,TRUE,,,,,,,,
GCF_000153745.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodobacterales..NA..NA..Rhodobacterales..bacterium..HTCC2255..HTCC2255,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCF_000341245.1,Bacteria..Actinobacteria..Actinobacteria..Streptosporangiales..Nocardiopsaceae..Nocardiopsis..Nocardiopsis..halophila..DSM..44494,TRUE,,,,,,,TRUE,,,,,
GCA_002238965.1,Bacteria..Nitrospinae..NA..NA..NA..NA..Nitrospinae..bacterium..bin107,TRUE,,,,,,,TRUE,,,,,
GCA_003151665.1,Bacteria..Candidatus..Dormibacteraeota..NA..NA..NA..NA..Candidatus..Dormibacteraeota..bacterium,TRUE,,,,,,,TRUE,,,,,
GCA_003021615.1,Bacteria..Actinobacteria..NA..NA..NA..NA..Actinobacteria..bacterium..QS..8..72..14,TRUE,,,,,,,TRUE,,,,,
GCA_002707655.1,Bacteria..Proteobacteria..Deltaproteobacteria..NA..NA..NA..Deltaproteobacteria..bacterium,TRUE,,,,,,,,,,,,
GCF_900102465.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Thalassobaculum..Thalassobaculum..litoreum..DSM..18839,TRUE,,,,,,,,,,,,
GCA_001800745.1,Archaea..Euryarchaeota..NA..NA..NA..NA..Euryarchaeota..archaeon..RBG..16..67..27,TRUE,,,,,,,,,,,,
GCF_001029505.1,Bacteria..Actinobacteria..Rubrobacteria..Rubrobacterales..Rubrobacteraceae..Rubrobacter..Rubrobacter..aplysinae..RV113,TRUE,,,,,,,,,,,,
GCF_000620685.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..Dongia..Dongia..sp..URHE0060..URHE0060,TRUE,,,,,,,,,,,,
GCA_003280605.1,Bacteria..Proteobacteria..Alphaproteobacteria..NA..NA..NA..SAR116..cluster..bacterium..AG..355..O21,TRUE,,,,,,,,,,,,
GCA_002717565.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium,TRUE,,,,,,,,,,,,
GCA_002701885.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium,TRUE,,,,,,,,,,,,
GCA_002722565.1,Bacteria..Actinobacteria..Acidimicrobiia..Acidimicrobiales..Acidimicrobiaceae..NA..Acidimicrobiaceae..bacterium,TRUE,,,,,,,,,,,,
GCA_003213135.1,Bacteria..Proteobacteria..Alphaproteobacteria..Pelagibacterales..Pelagibacteraceae..NA..Pelagibacteraceae..bacterium..AG..426..I15,TRUE,,,,,,,,,,,,
GCA_002238725.1,Bacteria..Proteobacteria..Alphaproteobacteria..Rhodospirillales..Rhodospirillaceae..NA..Rhodospirillaceae..bacterium..bin65,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
GCA_002389045.1,Bacteria..Proteobacteria..Gammaproteobacteria..Thiotrichales..Thiotrichaceae..NA..Thiotrichaceae..bacterium..UBA4486,,TRUE,TRUE,,,,,TRUE,,,TRUE,,
GCA_001898225.1,Bacteria..Chloroflexi..NA..NA..NA..NA..Chloroflexi..bacterium..54..19,,TRUE,TRUE,,,,,,,,,,
GCA_003130875.1,Bacteria..Chloroflexi..Ardenticatenia..NA..NA..NA..Ardenticatenia..bacterium,,TRUE,TRUE,,,,,,,,,,
GCA_002298155.1,Bacteria..Acidobacteria..Holophagae..Holophagales..Holophagaceae..NA..Holophagaceae..bacterium..UBA706,,TRUE,TRUE,,,,,,,,,,
GCF_002109495.1,Bacteria..Proteobacteria..Alphaproteobacteria..Magnetococcales..Magnetococcaceae..Magnetofaba..Magnetofaba..australis..IT..1,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCF_900102855.1,Bacteria..Proteobacteria..Gammaproteobacteria..Chromatiales..Ectothiorhodospiraceae..Thiohalomonas..Thiohalomonas..denitrificans..HLD2,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
GCA_002420425.1,Bacteria..Proteobacteria..NA..NA..NA..NA..Proteobacteria..bacterium..UBA5680,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,TRUE,TRUE
GCA_002085445.1,Bacteria..Proteobacteria..Gammaproteobacteria..Thiotrichales..Thiotrichaceae..Beggiatoa..Beggiatoa..sp..4572..84,,TRUE,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE
GCA_003235715.1,Bacteria..Nitrospirae..NA..NA..NA..NA..Nitrospirae..bacterium,,TRUE,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCF_001950325.1,Bacteria..Firmicutes..Clostridia..Thermoanaerobacterales..Thermoanaerobacteraceae..Carboxydothermus..Carboxydothermus..islandicus..SET,,TRUE,,TRUE,TRUE,,,,,,,TRUE,TRUE
GCA_002899795.1,Bacteria..Proteobacteria..Deltaproteobacteria..Desulfobacterales..Desulfobacteraceae..NA..Desulfobacteraceae..bacterium,,TRUE,,TRUE,TRUE,,,,,,,TRUE,
GCF_003054495.1,Bacteria..Firmicutes..Clostridia..Clostridiales..Clostridiales..Family..XVI...Incertae..Sedis..Carboxydocella..Carboxydocella..thermautotrophica..041T,,TRUE,,TRUE,TRUE,,,,,,,,
GCA_001768075.1,Bacteria..Proteobacteria..Deltaproteobacteria..Myxococcales..Anaeromyxobacteraceae..Anaeromyxobacter..Anaeromyxobacter..sp..RBG..16..69..14,,TRUE,,,TRUE,,,,,,,TRUE,TRUE
GCA_003230355.1,Archaea..Euryarchaeota..NA..NA..NA..NA..Euryarchaeota..archaeon,,TRUE,,,TRUE,,,,,,,,
