Type,H-subunit,D-subunit,K-subunit,"Genome ID","Genome name",Domain,Phylum,Order
Anf,ADQ79512.1,ADQ79509.1,ADQ79507.1,GCA_000183135.1_ASM18313v1,"Paludibacter propionicigenes WB4",BACTERIAL,Bacteroidetes,Bacteroidia
Anf,ACF14285.1,ACF14288.1,ACF14290.1,GCA_000020525.1_ASM2052v1,"Chloroherpeton thalassium ATCC 35110",BACTERIAL,Chlorobi,Chlorobia
Anf,AKB82408.1,AKB82412.1,AKB82410.1,GCA_000970305.1_ASM97030v1,"Methanosarcina barkeri 3",ARCHAEAL,Euryarchaeota,Methanomicrobia
Anf,AAM04624.1,AAM04629.1,AAM04627.1,GCA_000007345.1_ASM734v1,"Methanosarcina acetivorans C2A",ARCHAEAL,Euryarchaeota,Methanomicrobia
Anf,ADY57123.1,ADY57120.1,ADY57118.1,GCA_000190635.1_ASM19063v1,"Syntrophobotulus glycolicus DSM 8271",BACTERIAL,Firmicutes,Clostridia
Anf,AFA47495.1,AFA47492.1,AFA47490.1,GCA_000247605.1_ASM24760v1,"Acetobacterium woodii DSM 1030",BACTERIAL,Firmicutes,Clostridia
Anf,AIF53402.1,AIF53399.1,AIF53397.1,GCA_000725345.1_ASM72534v1,"Pelosinus sp. UFO1",BACTERIAL,Firmicutes,Negativicutes
Anf,AJQ26362.1,AJQ26365.1,AJQ26367.1,GCA_000271665.2_ASM27166v2,"Pelosinus fermentans JBW45",BACTERIAL,Firmicutes,Negativicutes
Anf,AIQ17622.1,AIQ17623.1,AIQ17625.1,GCA_000758525.1_ASM75852v1,"Paenibacillus sp. FSL H7-0357",BACTERIAL,Firmicutes,Bacilli
Anf,AIQ57936.1,AIQ57937.1,AIQ57939.1,GCA_000758665.1_ASM75866v1,"Paenibacillus borealis",BACTERIAL,Firmicutes,Bacilli
Anf,AIQ63606.1,AIQ63607.1,AIQ63609.1,GCA_000758685.1_ASM75868v1,"Paenibacillus stellifer",BACTERIAL,Firmicutes,Bacilli
Anf,CQR55106.1,CQR55107.1,CQR55109.1,GCA_000981585.1_SBR5_T_,"Paenibacillus riograndensis SBR5",BACTERIAL,Firmicutes,Bacilli
Anf,AGF56848.1,AGF56849.1,AGF56851.1,GCA_000340885.1_ASM34088v1,"Clostridium saccharoperbutylacetonicum N1-4(HMT)",BACTERIAL,Firmicutes,Clostridia
Anf,AJA49858.1,AJA49856.1,AJA49854.1,GCA_000807175.1_ASM80717v1,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia
Anf,AJA53846.1,AJA53844.1,AJA53842.1,GCA_000807255.1_ASM80725v1,"Clostridium pasteurianum DSM 525 = ATCC 6013",BACTERIAL,Firmicutes,Clostridia
Anf,ABC22196.1,ABC22195.1,ABC22193.1,GCA_000013085.1_ASM1308v1,"Rhodospirillum rubrum ATCC 11170",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ABD90206.1,ABD90205.1,ABD90203.1,GCA_000013745.1_ASM1374v1,"Rhodopseudomonas palustris BisB18",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ABJ07810.1,ABJ07809.1,ABJ07807.1,GCA_000014825.1_ASM1482v1,"Rhodopseudomonas palustris BisA53",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ACF00152.1,ACF00151.1,ACF00149.1,GCA_000020445.1_ASM2044v1,"Rhodopseudomonas palustris TIE-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ACM03752.1,ACM03751.1,ACM03749.1,GCA_000021005.1_ASM2100v1,"Rhodobacter sphaeroides KD131",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ACO81000.1,ACO80999.1,ACO80997.1,GCA_000021045.1_ASM2104v1,"Azotobacter vinelandii DJ",BACTERIAL,Proteobacteria,Gammaproteobacteria
Anf,ACS86387.1,ACS86388.1,ACS86390.1,GCA_000023545.1_ASM2354v1,"Dickeya paradisiaca Ech703",BACTERIAL,Proteobacteria,Gammaproteobacteria
Anf,ADE84350.1,ADE84351.1,ADE84353.1,GCA_000021865.1_ASM2186v1,"Rhodobacter capsulatus SB 1003",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ADP72548.1,ADP72547.1,ADP72545.1,GCA_000166055.1_ASM16605v1,"Rhodomicrobium vannielii ATCC 17100",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ADU44701.1,ADU44702.1,ADU44704.1,GCA_000177255.2_ASM17725v2,"Rhodopseudomonas palustris DX-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,AEI37864.1,AEI37863.1,AEI37861.1,GCA_000218875.1_ASM21887v1,"Zymomonas mobilis subsp. pomaceae ATCC 29192",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,AEO47911.1,AEO47910.1,AEO47908.1,GCA_000225955.1_ASM22595v1,"Rhodospirillum rubrum F11",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,ALK10656.1,ALK10657.1,ALK10659.1,GCA_001402875.1_ASM140287v1,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,BAR99383.1,BAR99382.1,BAR99380.1,GCA_001548155.2_BV133_assembly_1.0,"Blastochloris viridis",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,CCG07116.1,CCG07115.1,CCG07113.1,GCA_000284415.2_ASM28441v2,"Rhodospirillum photometricum DSM 122",BACTERIAL,Proteobacteria,Alphaproteobacteria
Anf,AHF89179.1,AHF89180.1,AHF89182.1,GCA_000242935.3_ASM24293v3,"Opitutaceae bacterium TAV5",BACTERIAL,Verrucomicrobia,Opitutae
Anf,CAE26881.1,CAE26880.1,CAE26878.1,GCA_000195775.1_ASM19577v1,"Rhodopseudomonas palustris CGA009",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAB91899.1,AAB91900.1,AAB91901.1,GCA_000018545.1_ASM1854v1,"Sinorhizobium fredii NGR234",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAB91923.1,AAB91924.1,AAB91925.1,GCA_000018545.1_ASM1854v1,"Sinorhizobium fredii NGR234",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAK65107.1,AAK65108.1,AAK65109.1,GCA_000006965.1_ASM696v1,"Sinorhizobium meliloti 1021",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAM54750.1,AAM54751.1,AAM54752.2,GCA_000092045.1_ASM9204v1,"Rhizobium etli CFN 42",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAM54849.1,AAM54850.1,AAM54851.1,GCA_000092045.1_ASM9204v1,"Rhizobium etli CFN 42",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAR36215.1,AAR36214.1,AAR36213.1,GCA_000007985.2_ASM798v2,"Geobacter sulfurreducens PCA",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,AAV90447.1,AAV90448.1,AAV90449.1,GCA_000007105.1_ASM710v1,"Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,AAZ46164.1,AAZ46163.1,AAZ46162.1,GCA_000012425.1_ASM1242v1,"Dechloromonas aromatica RCB",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ABA23846.1,ABA23847.1,ABA23848.1,GCA_000204075.1_ASM20407v1,"Anabaena variabilis ATCC 29413",BACTERIAL,Cyanobacteria,None
Nif-A,ABA89338.1,ABA89339.1,ABA89340.1,GCA_000012885.1_ASM1288v1,"Pelobacter carbinolicus DSM 2380",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ABB30904.1,ABB30905.1,ABB30906.1,GCA_000012925.1_ASM1292v1,"Geobacter metallireducens GS-15",BACTERIAL,Proteobacteria,Deltaproteobacteria
Nif-A,ABC21811.1,ABC21812.1,ABC21813.1,GCA_000013085.1_ASM1308v1,"Rhodospirillum rubrum ATCC 11170",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABC99975.1,ABC99974.1,ABC99973.1,GCA_000013205.1_ASM1320v1,"Synechococcus sp. JA-3-3Ab",BACTERIAL,Cyanobacteria,None
Nif-A,ABD01417.1,ABD01418.1,ABD01419.1,GCA_000013225.1_ASM1322v1,"Synechococcus sp. JA-2-3B'a(2-13)",BACTERIAL,Cyanobacteria,None
Nif-A,ABD05679.1,ABD05680.1,ABD05681.1,GCA_000013365.1_ASM1336v1,"Rhodopseudomonas palustris HaA2",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABD13834.1,ABD13833.1,ABD13832.1,GCA_000013345.1_ASM1334v1,"Frankia sp. CcI3",BACTERIAL,Actinobacteria,Actinobacteria
Nif-A,ABD89986.1,ABD89985.1,ABD89984.1,GCA_000013745.1_ASM1374v1,"Rhodopseudomonas palustris BisB18",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,CAE30060.1,CAE30059.1,CAE30058.1,GCA_000195775.1_ASM19577v1,"Rhodopseudomonas palustris CGA009",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABE34499.1,ABE34498.1,ABE34497.1,GCA_000013645.1_ASM1364v1,"Burkholderia xenovorans LB400",BACTERIAL,Proteobacteria,Betaproteobacteria
Nif-A,ABE38311.1,ABE38312.1,ABE38313.1,GCA_000013685.1_ASM1368v1,"Rhodopseudomonas palustris BisB5",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABG53144.1,ABG53145.1,ABG53146.1,GCA_000014265.1_ASM1426v1,"Trichodesmium erythraeum IMS101",BACTERIAL,Cyanobacteria,None
Nif-A,ABJ08453.1,ABJ08452.1,ABJ08451.1,GCA_000014825.1_ASM1482v1,"Rhodopseudomonas palustris BisA53",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABK43713.1,ABK43712.1,ABK43711.1,GCA_000014865.1_ASM1486v1,"Magnetococcus marinus MC-1",BACTERIAL,Proteobacteria,Alphaproteobacteria
Nif-A,ABL01060.1,ABL01061.1,ABL01062.1,GCA_000015045.1_ASM1504v1,"Pelobacter propionicus DSM 2379",BACTERIAL,Proteobacteria,Deltaproteobacteria
