protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
AncA-1,Extant-MLAnc_Align,NA,NA,1,85,25,77,97,52,104,29,99,93,85,35,48,52,31,47,45,61,88,12,45
AncA-2,Extant-MLAnc_Align,NA,NA,1,85,23,78,97,53,107,28,97,94,85,35,47,52,30,47,44,58,92,12,46
AncA-3,Extant-MLAnc_Align,NA,NA,1,85,25,73,103,53,108,27,96,92,84,36,48,51,31,45,50,60,89,12,43
AncA-4,Extant-MLAnc_Align,NA,NA,1,88,22,73,99,55,111,28,96,95,88,37,49,56,33,48,47,60,88,13,45
AncA-5,Extant-MLAnc_Align,NA,NA,1,86,23,76,99,53,106,28,97,94,85,34,47,52,30,47,44,58,93,12,46
AncB-1,Extant-MLAnc_Align,NA,NA,1,79,22,72,106,48,108,25,101,110,83,36,45,55,27,41,41,58,83,7,50
AncB-2,Extant-MLAnc_Align,NA,NA,1,81,22,76,102,49,108,24,104,110,80,34,44,55,27,41,42,58,84,7,49
AncB-3,Extant-MLAnc_Align,NA,NA,1,78,22,69,108,48,109,26,99,112,85,38,42,56,27,41,43,59,82,7,47
AncB-4,Extant-MLAnc_Align,NA,NA,1,81,23,69,113,51,111,27,101,112,87,39,39,65,24,45,42,60,81,7,50
AncB-5,Extant-MLAnc_Align,NA,NA,1,82,22,76,102,47,108,24,104,110,80,35,44,55,27,41,42,57,84,8,49
AncC-1,Extant-MLAnc_Align,NA,NA,1,82,24,70,104,47,106,28,104,104,83,32,39,59,26,50,38,63,80,7,48
AncC-2,Extant-MLAnc_Align,NA,NA,1,84,23,70,99,47,106,26,104,111,81,33,39,59,27,49,38,61,83,6,48
AncC-3,Extant-MLAnc_Align,NA,NA,1,81,24,70,104,49,106,30,101,105,81,33,38,60,26,50,38,65,81,7,46
AncC-4,Extant-MLAnc_Align,NA,NA,1,87,24,69,106,49,106,28,101,109,88,36,37,67,25,51,37,62,81,7,51
AncC-5,Extant-MLAnc_Align,NA,NA,1,84,23,70,100,48,106,26,104,111,79,33,39,59,26,48,38,61,84,7,48
AncD-1,Extant-MLAnc_Align,NA,NA,1,85,26,74,104,42,108,25,101,102,81,36,36,61,26,50,34,67,75,6,50
