protein,name,E0,id,start,stop,organism,ref
Trx,Thioredoxin-1,-270,P0AA25,2,109,ecoli,ABH97
Grx1,Glutaredoxin-1,-232,P68688,1,85,ecoli,ABH97
Grx3,Glutaredoxin-3,-198,P0AC62,2,83,ecoli,ABH97
PDI,"Protein disulfide-isomerase",-175,P07237,18,508,ecoli,ABH97
DsbC,"Thiol:disulfide interchange protein DsbC",-159,P0AEG6,21,236,ecoli,ABH97
DsbA,"Thiol:disulfide interchange protein DsbA",-124,P0AEG4,20,208,ecoli,ABH97
FER1,"Ferredoxin-1, chloroplastic",-420,P00221,51,147,spinach,HSJ+99
FTRV,"Ferredoxin-thioredoxin reductase, variable chain, chloroplastic",-320,P38365,63,174,spinach,HSJ+99
FTRC1,"Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic",-320,P41348,32,144,spinach,HSJ+99
TRXM,"Thioredoxin M-type, chloroplastic",-300,P07591,68,180,spinach,HSJ+99
TRXF,"Thioredoxin F-type, chloroplastic",-290,P09856,78,189,spinach,HSJ+99
