Catalogue,Accession,Length,"Num. of genomes",Completeness,Contamination,Type,Taxonomy,"Last Updated"
"UHGG v2.0.1",MGYG000000001,3219617,4,98.59,0.7,Isolate,"GCA-900066495 sp902362365",2021-12-07
"UHGG v2.0.1",MGYG000000002,4433109,359,99.37,0,Isolate,"Blautia_A faecis",2021-12-07
"UHGG v2.0.1",MGYG000000003,3229518,1181,100,0,Isolate,"Alistipes shahii",2021-12-07
"UHGG v2.0.1",MGYG000000004,3698896,25,98.66,0.22,Isolate,"Anaerotruncus colihominis",2021-12-07
"UHGG v2.0.1",MGYG000000005,3930428,2,99.3,0,Isolate,"Terrisporobacter glycolicus_A",2021-12-07
"UHGG v2.0.1",MGYG000000006,2822527,1,99.26,1.39,Isolate,"Staphylococcus xylosus",2021-12-07
"UHGG v2.0.1",MGYG000000007,2016167,1,98.94,0,Isolate,"Lactobacillus intestinalis",2021-12-07
"UHGG v2.0.1",MGYG000000008,1971706,24,99.22,0.78,Isolate,"Lactobacillus johnsonii",2021-12-07
"UHGG v2.0.1",MGYG000000009,2219792,2,99.21,0,Isolate,"Ligilactobacillus murinus",2021-12-07
"UHGG v2.0.1",MGYG000000010,2726400,1,99.45,1.66,Isolate,"Staphylococcus_A lentus",2021-12-07
"UHGG v2.0.1",MGYG000000011,2927352,1,99.44,1.39,Isolate,"Staphylococcus xylosus_B",2021-12-07
"UHGG v2.0.1",MGYG000000012,4053580,1,99.81,0.2,Isolate,"Bacillus subtilis",2021-12-07
"UHGG v2.0.1",MGYG000000013,6368149,37,99.08,0.08,Isolate,"Bacteroides sp902362375",2021-12-07
"UHGG v2.0.1",MGYG000000014,4564499,74,99.19,0,Isolate,"Clostridium butyricum",2021-12-07
"UHGG v2.0.1",MGYG000000015,4878649,5,98.78,0.1,Isolate,"Enterobacter mori",2021-12-07
"UHGG v2.0.1",MGYG000000016,2568487,156,97.32,0,Isolate,"Anaerotignum sp001304995",2021-12-07
"UHGG v2.0.1",MGYG000000017,2173090,43,100,0.81,Isolate,"Collinsella sp902362275",2021-12-07
"UHGG v2.0.1",MGYG000000018,3280214,374,99.33,0,Isolate,"Coprococcus eutactus",2021-12-07
"UHGG v2.0.1",MGYG000000019,4947669,1,99.22,0.18,Isolate,"Enterobacter cloacae_O",2021-12-07
"UHGG v2.0.1",MGYG000000020,1923680,2,99.18,0,Isolate,"Latilactobacillus curvatus",2021-12-07
"UHGG v2.0.1",MGYG000000021,1945993,14,99.46,0.54,Isolate,"Limosilactobacillus vaginalis_A",2021-12-07
"UHGG v2.0.1",MGYG000000022,3052239,1258,100,0,Isolate,"Faecalibacterium prausnitzii_C",2021-12-07
"UHGG v2.0.1",MGYG000000023,2130728,16,98.81,0.17,Isolate,"Streptococcus parasanguinis",2021-12-07
